
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     87  87   1 85         87 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     88  88   1 86         88 0 B15_L21_P           (4-63-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     89  89   1 87         89 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     90  90   1 88         90 0 B15_L21_N           (4-64-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     91  91   1 89         91 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     92  92   1 90         92 0 GND                 (2-3-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     93  93   1 91         93 0 3V3_MB              (188-4-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     94  94   1 92         94 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     95  95   1 93         95 0 TMS                 (2-30-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     96  96   1 94         96 0                     (0-0-0)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     97  97   1 95         97 0 TDI                 (2-32-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     98  98   1 96         98 0 B15_L22_N           (4-67-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1     99  99   1 97         99 0 TDO                 (2-31-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1    100 100   1 98        100 0 B15_L22_P           (4-68-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1    101 101   1 99        101 0 TCK                 (2-33-13)
LSHM-150-04.0-L-DV-A-N-K-TR      JB2                                2   1    102 102   1 100       102 0 B15_IO25            (4-69-13)
Molex_87832-1420                 J1                               119   1      1   1   1 4           4 0 TMS                 (2-30-13)
Molex_87832-1420                 J1                               119   1      2   2   1 6           6 0 TCK                 (2-33-13)
Molex_87832-1420                 J1                               119   1      3   3   1 8           8 0 TDO                 (2-31-13)
Molex_87832-1420                 J1                               119   1      4   4   1 10         10 0 TDI                 (2-32-13)
Molex_87832-1420                 J1                               119   1      5   5   1 12         12 0                     (0-0-0)
Molex_87832-1420                 J1                               119   1      6   6   1 14         14 0 INIT                (95-12-13)
Molex_87832-1420                 J1                               119   2      1   1   2 2           2 0 3V3_VCCO            (376-4-13)
Molex_87832-1420                 J1                               119   3      1   1   3 13         13 0 GND                 (2-3-13)
Molex_87832-1420                 J1                               119   3      1   1   4 11         11 0 GND                 (2-3-13)
Molex_87832-1420                 J1                               119   3      1   1   5 9           9 0 GND                 (2-3-13)
Molex_87832-1420                 J1                               119   3      1   1   6 7           7 0 GND                 (2-3-13)
Molex_87832-1420                 J1                               119   3      1   1   7 5           5 0 GND                 (2-3-13)
Molex_87832-1420                 J1                               119   3      1   1   8 3           3 0 GND                 (2-3-13)
Molex_87832-1420                 J1                               119   3      1   1   9 1           1 0 GND                 (2-3-13)
Molex_87832-1420                 J1                                 0   4      1   1  10 15         15 1                     (0-0-0)
Molex_87832-1420                 J1                                 0   4      1   1  11 16         16 1                     (0-0-0)
MPZ0603S121HT000                 L1                               156   1      1   1   1 1           1 0 AGND                (95-13-13)
MPZ0603S121HT000                 L1                               156   1      2   2   1 2           2 0 GND                 (2-3-13)
MPZ0603S121HT000                 L2                               157   1      1   1   1 1           1 0 AVCC                (95-14-13)
MPZ0603S121HT000                 L2                               157   1      2   2   1 2           2 0 1V8                 (95-20-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
MPZ1608S221ATA00                 L3                               165   1      1   1   1 1           1 0 1V0                 (188-25-13)
MPZ1608S221ATA00                 L3                               165   1      2   2   1 2           2 0 $6N81               (239-1-13)
PMEG2005EL,315                   D1                               155   1      1   1   1 2           2 0 INIT                (95-12-13)
PMEG2005EL,315                   D1                               155   1      2   2   1 1           1 0 PROG_B              (95-11-13)
R0402                            R3                               130   1      1   1   1 1           1 0 $6N391              (95-3-13)
R0402                            R3                               130   1      2   2   1 2           2 0 1V2                 (95-2-13)
R0402                            R4                               122   1      1   1   1 1           1 0 CLK125M_1_N         (95-7-13)
R0402                            R4                               122   1      2   2   1 2           2 0 CLK125M_1_P         (246-29-13)
R0402                            R5                               120   1      1   1   1 1           1 0 3V3_VCCO            (376-4-13)
R0402                            R5                               120   1      2   2   1 2           2 0 $6N611              (95-10-13)
R0402                            R6                               128   1      1   1   1 1           1 0 3V3_VCCO            (376-4-13)
R0402                            R6                               128   1      2   2   1 2           2 0 INIT                (95-12-13)
R0402                            R7                               126   1      1   1   1 1           1 0 3V3_VCCO            (376-4-13)
R0402                            R7                               126   1      2   2   1 2           2 0 SPI_CS              (85-9-13)
R0402                            R8                               127   1      1   1   1 1           1 0 3V3_VCCO            (376-4-13)
R0402                            R8                               127   1      2   2   1 2           2 0 SPI_DQ3             (85-5-13)
R0402                            R9                               129   1      1   1   1 1           1 0 1V2                 (95-2-13)
R0402                            R9                               129   1      2   2   1 2           2 0 $8N85               (162-2-13)
R0402                            R10                              131   1      1   1   1 1           1 0 $8N85               (162-2-13)
R0402                            R10                              131   1      2   2   1 2           2 0 GND                 (2-3-13)
R0402                            R11                              132   1      1   1   1 1           1 0 2V5_MB              (2-356-13)
R0402                            R11                              132   1      2   2   1 2           2 0 PWR_GD_1V8          (162-6-13)
R0402                            R12                              133   1      1   1   1 1           1 0 2V5_MB              (2-356-13)
R0402                            R12                              133   1      2   2   1 2           2 0 PWR_GD_1V2          (207-10-13)
R0402                            R16                              143   1      1   1   1 1           1 0 1V8                 (95-20-13)
R0402                            R16                              143   1      2   2   1 2           2 0 $8N420              (188-14-13)
R0402                            R17                              142   1      1   1   1 1           1 0 $8N420              (188-14-13)
R0402                            R17                              142   1      2   2   1 2           2 0 GND                 (2-3-13)
R0402                            R18                              141   1      1   1   1 1           1 0 2V5_MB              (2-356-13)
R0402                            R18                              141   1      2   2   1 2           2 0 PWR_GD_1V0          (188-21-13)
R0402                            R19                              134   1      1   1   1 1           1 0 2V5_MB              (2-356-13)
R0402                            R19                              134   1      2   2   1 2           2 0 PWR_GD_1V8          (162-6-13)
R0402                            R24                              121   1      1   1   1 1           1 0 74M25_P             (357-2-13)
R0402                            R24                              121   1      2   2   1 2           2 0 74M25_N             (357-1-13)
R0402                            R25                              137   1      1   1   1 1           1 0 3V3_MB              (188-4-13)
R0402                            R25                              137   1      2   2   1 2           2 0 $8N1508             (376-10-13)
R0402                            R26                              138   1      1   1   1 1           1 0 SW1_OK              (376-11-13)
R0402                            R26                              138   1      2   2   1 2           2 0 2V5_MB              (2-356-13)
R0402                            R27                              135   1      1   1   1 1           1 0 2V5_MB              (2-356-13)
R0402                            R27                              135   1      2   2   1 2           2 0 $8N1546             (376-12-13)
R0402                            R28                              136   1      1   1   1 1           1 0 PGOOD,SW2_OK        (376-16-13)
R0402                            R28                              136   1      2   2   1 2           2 0 2V5_MB              (2-356-13)
R0402                            R29                              140   1      1   1   1 1           1 0 2V5_MB              (2-356-13)
R0402                            R29                              140   1      2   2   1 2           2 0 PWR_GD_1V0          (188-21-13)
R0402                            R30                              139   1      1   1   1 1           1 0 GND                 (2-3-13)
R0402                            R30                              139   1      2   2   1 2           2 0 $8N1903             (474-2-13)
R0402                            R31                              123   1      1   1   1 1           1 0 3V3_VCCO            (376-4-13)
R0402                            R31                              123   1      2   2   1 2           2 0 M0                  (695-2-13)
R0402                            R32                              124   1      1   1   1 1           1 0 3V3_VCCO            (376-4-13)
R0402                            R32                              124   1      2   2   1 2           2 0 M1                  (695-3-13)
R0402                            R33                              125   1      1   1   1 1           1 0 3V3_VCCO            (376-4-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
R0402                            R33                              125   1      2   2   1 2           2 0 M2                  (695-4-13)
R1218                            R34                              164   1      1   1   1 1           1 0 3V3_MB              (188-4-13)
R1218                            R34                              164   1      2   1   1 2           2 0 3V3_MB_FILT         (874-3-13)
S25FL256SAGBHI200                U2                               158   1      1   1   1 C2         11 0 SPI_CS              (85-9-13)
S25FL256SAGBHI200                U2                               158   1      2   2   1 D2         16 0 SPI_DQ1             (85-3-13)
S25FL256SAGBHI200                U2                               158   1      3   3   1 C4         13 0 SPI_DQ2             (85-4-13)
S25FL256SAGBHI200                U2                               158   1      4   4   1 D3         17 0 SPI_DQ0             (85-2-13)
S25FL256SAGBHI200                U2                               158   1      5   5   1 B2          6 0 SPI_SCK             (95-8-13)
S25FL256SAGBHI200                U2                               158   1      6   6   1 D4         18 0 SPI_DQ3             (85-5-13)
S25FL256SAGBHI200                U2                               158   2      1   1   2 B4          8 0 3V3_VCCO            (376-4-13)
S25FL256SAGBHI200                U2                               158   3      1   1   3 B3          7 0 GND                 (2-3-13)
S25FL256SAGBHI200                U2                                 0   4      1   1   4 A2          1 1                     (0-0-0)
S25FL256SAGBHI200                U2                                 0   4      1   1   5 A3          2 1                     (0-0-0)
S25FL256SAGBHI200                U2                                 0   4      1   1   6 A5          4 1                     (0-0-0)
S25FL256SAGBHI200                U2                                 0   4      1   1   7 B1          5 1                     (0-0-0)
S25FL256SAGBHI200                U2                                 0   4      1   1   8 B5          9 1                     (0-0-0)
S25FL256SAGBHI200                U2                                 0   4      1   1   9 C1         10 1                     (0-0-0)
S25FL256SAGBHI200                U2                                 0   4      1   1  10 C3         12 1                     (0-0-0)
S25FL256SAGBHI200                U2                                 0   4      1   1  11 C5         14 1                     (0-0-0)
S25FL256SAGBHI200                U2                                 0   4      1   1  12 D1         15 1                     (0-0-0)
S25FL256SAGBHI200                U2                                 0   4      1   1  13 D5         19 1                     (0-0-0)
S25FL256SAGBHI200                U2                                 0   4      1   1  14 E1         20 1                     (0-0-0)
S25FL256SAGBHI200                U2                                 0   4      1   1  15 E2         21 1                     (0-0-0)
S25FL256SAGBHI200                U2                                 0   4      1   1  16 E3         22 1                     (0-0-0)
S25FL256SAGBHI200                U2                                 0   4      1   1  17 E4         23 1                     (0-0-0)
S25FL256SAGBHI200                U2                                 0   4      1   1  18 A4          3 1                     (0-0-0)
S25FL256SAGBHI200                U2                                 0   4      1   1  19 E5         24 1                     (0-0-0)
TE_282834_3                      EXT_V1N                          166   1      1   1   1 1           1 0 3V3_MB              (188-4-13)
TE_282834_3                      EXT_V1N                          166   1      2   2   1 2           2 0 GND                 (2-3-13)
TE_282834_3                      EXT_V1N                          166   1      3   3   1 3           3 0 2V5_MB              (2-356-13)
TPS2116DRLR                      U3                               160   1      1   1   1 1           1 0 GND                 (2-3-13)
TPS2116DRLR                      U3                               160   1      2   2   1 2           2 0 3V3_VCCO            (376-4-13)
TPS2116DRLR                      U3                               160   1      3   3   1 3           3 0 3V3_MB              (188-4-13)
TPS2116DRLR                      U3                               160   1      4   4   1 4           4 0 PWR_GD_1V2          (207-10-13)
TPS2116DRLR                      U3                               160   1      5   5   1 5           5 0 $8N1508             (376-10-13)
TPS2116DRLR                      U3                               160   1      6   6   1 6           6 0 GND                 (2-3-13)
TPS2116DRLR                      U3                               160   1      7   7   1 7           7 0 3V3_VCCO            (376-4-13)
TPS2116DRLR                      U3                               160   1      8   8   1 8           8 0 SW1_OK              (376-11-13)
TPS2116DRLR                      U4                               159   1      1   1   1 1           1 0 GND                 (2-3-13)
TPS2116DRLR                      U4                               159   1      2   2   1 2           2 0 2V5_VCCO            (376-17-13)
TPS2116DRLR                      U4                               159   1      3   3   1 3           3 0 2V5_MB              (2-356-13)
TPS2116DRLR                      U4                               159   1      4   4   1 4           4 0 PWR_GD_1V2          (207-10-13)
TPS2116DRLR                      U4                               159   1      5   5   1 5           5 0 $8N1546             (376-12-13)
TPS2116DRLR                      U4                               159   1      6   6   1 6           6 0 GND                 (2-3-13)
TPS2116DRLR                      U4                               159   1      7   7   1 7           7 0 2V5_VCCO            (376-17-13)
TPS2116DRLR                      U4                               159   1      8   8   1 8           8 0 PGOOD,SW2_OK        (376-16-13)
TPS6283810                       VR4                              144   1      1   1   1 A1          1 0 $8N1903             (474-2-13)
TPS6283810                       VR4                              144   1      2   2   1 A2          2 0 3V3_MB_FILT         (874-3-13)
TPS6283810                       VR4                              144   1      3   3   1 B1          3 0 PWR_GD_1V0          (188-21-13)
TPS6283810                       VR4                              144   1      4   4   1 B2          4 0 $8N1782             (386-1-13)
TPS6283810                       VR4                              144   1      5   5   1 C1          5 0 1V0                 (188-25-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
TPS6283810                       VR4                              144   1      6   6   1 C2          6 0 GND                 (2-3-13)
XC7A100T-2FGG484C                U1                                 6   1      1   1   1 T14       388 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 6   1      2   2   1 T15       389 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 6   1      3   3   1 T16       390 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 6   1      4   4   1 U15       411 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 6   1      5   5   1 U16       412 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 6   1      6   6   1 V10       428 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 6   1      7   7   1 V13       431 0 B13_L13_P           (2-5-13)
XC7A100T-2FGG484C                U1                                 6   1      8   8   1 V14       432 0 B13_L13_N           (2-6-13)
XC7A100T-2FGG484C                U1                                 6   1      9   9   1 V15       433 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 6   1     10  10   1 V16       434 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                 6   1     11  11   1 W10       450 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 6   1     12  12   1 W11       451 0 B13_L12_P           (2-19-13)
XC7A100T-2FGG484C                U1                                 6   1     13  13   1 W12       452 0 B13_L12_N           (2-20-13)
XC7A100T-2FGG484C                U1                                 6   1     14  14   1 W13       453 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                 6   1     15  15   1 W14       454 0 B13_L6_P            (4-80-13)
XC7A100T-2FGG484C                U1                                 6   1     16  16   1 W15       455 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 6   1     17  17   1 W16       456 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 6   1     18  18   1 Y10       472 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                 6   1     19  19   1 Y11       473 0 B13_L11_P           (4-86-13)
XC7A100T-2FGG484C                U1                                 6   1     20  20   1 Y12       474 0 B13_L11_N           (4-85-13)
XC7A100T-2FGG484C                U1                                 6   1     21  21   1 Y13       475 0 B13_L5_P            (4-82-13)
XC7A100T-2FGG484C                U1                                 6   1     22  22   1 Y14       476 0 B13_L6_N            (4-79-13)
XC7A100T-2FGG484C                U1                                 6   1     23  23   1 Y16       478 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 6   1     24  24   1 Y17       479 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 6   1     25  25   1 AA9         9 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 6   1     26  26   1 AA10       10 0 B13_L9_P            (4-88-13)
XC7A100T-2FGG484C                U1                                 6   1     27  27   1 AA11       11 0 B13_L9_N            (4-87-13)
XC7A100T-2FGG484C                U1                                 6   1     28  28   1 AA13       13 0 B13_L3_P            (4-83-13)
XC7A100T-2FGG484C                U1                                 6   1     29  29   1 AA14       14 0 B13_L5_N            (4-81-13)
XC7A100T-2FGG484C                U1                                 6   1     30  30   1 AA15       15 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 6   1     31  31   1 AA16       16 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 6   1     32  32   1 AA17       17 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                 6   1     33  33   1 AB10       32 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 6   1     34  34   1 AB11       33 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 6   1     35  35   1 AB12       34 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 6   1     36  36   1 AB13       35 0 B13_L3_N            (4-84-13)
XC7A100T-2FGG484C                U1                                 6   1     37  37   1 AB14       36 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                 6   1     38  38   1 AB15       37 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 6   1     39  39   1 AB16       38 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 6   1     40  40   1 AB17       39 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 7   2      1   1   2 N13       321 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 7   2      2   2   2 N14       322 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 7   2      3   3   2 N17       325 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 7   2      4   4   2 P14       344 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 7   2      5   5   2 P15       345 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 7   2      6   6   2 P16       346 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 7   2      7   7   2 P17       347 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 7   2      8   8   2 R14       366 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 7   2      9   9   2 R16       368 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 7   2     10  10   2 R17       369 0 B14_L24_N           (4-127-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
XC7A100T-2FGG484C                U1                                 7   2     11  11   2 R18       370 0 B14_L20_P           (2-333-13)
XC7A100T-2FGG484C                U1                                 7   2     12  12   2 T18       392 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 7   2     13  13   2 U17       413 0 B14_L18_P           (4-142-13)
XC7A100T-2FGG484C                U1                                 7   2     14  14   2 U18       414 0 B14_L18_N           (4-143-13)
XC7A100T-2FGG484C                U1                                 7   2     15  15   2 AA18       18 0 B14_L17_P           (4-15-13)
XC7A100T-2FGG484C                U1                                 7   2     16  16   2 M14       300 0 3V3_VCCO            (376-4-13)
XC7A100T-2FGG484C                U1                                 7   2     17  17   2 P18       348 0 3V3_VCCO            (376-4-13)
XC7A100T-2FGG484C                U1                                 7   2     18  18   2 R15       367 0 3V3_VCCO            (376-4-13)
XC7A100T-2FGG484C                U1                                 7   2     19  19   2 T22       396 0 3V3_VCCO            (376-4-13)
XC7A100T-2FGG484C                U1                                 7   2     20  20   2 U19       415 0 3V3_VCCO            (376-4-13)
XC7A100T-2FGG484C                U1                                 7   2     21  21   2 Y20       482 0 3V3_VCCO            (376-4-13)
XC7A100T-2FGG484C                U1                                 7   2     22  22   2 N15       323 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 7   2     23  23   2 P19       349 0 B14_L5_P            (2-331-13)
XC7A100T-2FGG484C                U1                                 7   2     24  24   2 P20       350 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 7   2     25  25   2 P21       351 0 SPI_DQ2             (85-4-13)
XC7A100T-2FGG484C                U1                                 7   2     26  26   2 P22       352 0 SPI_DQ0             (85-2-13)
XC7A100T-2FGG484C                U1                                 7   2     27  27   2 R19       371 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 7   2     28  28   2 R21       373 0 SPI_DQ3             (85-5-13)
XC7A100T-2FGG484C                U1                                 7   2     29  29   2 R22       374 0 SPI_DQ1             (85-3-13)
XC7A100T-2FGG484C                U1                                 7   2     30  30   2 T19       393 0 SPI_CS              (85-9-13)
XC7A100T-2FGG484C                U1                                 7   2     31  31   2 T20       394 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 7   2     32  32   2 T21       395 0 B14_L4_P            (111-9-13)
XC7A100T-2FGG484C                U1                                 7   2     33  33   2 U20       416 0 B14_L11_P           (4-6-13)
XC7A100T-2FGG484C                U1                                 7   2     34  34   2 U21       417 0 B14_L4_N            (111-10-13)
XC7A100T-2FGG484C                U1                                 7   2     35  35   2 U22       418 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 7   2     36  36   2 V17       435 0 B14_L16_P           (4-16-13)
XC7A100T-2FGG484C                U1                                 7   2     37  37   2 V18       436 0 B14_L14_P           (4-8-13)
XC7A100T-2FGG484C                U1                                 7   2     38  38   2 V19       437 0 B14_L14_N           (4-9-13)
XC7A100T-2FGG484C                U1                                 7   2     39  39   2 V20       438 0 B14_L11_N           (4-7-13)
XC7A100T-2FGG484C                U1                                 7   2     40  40   2 V22       440 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 7   2     41  41   2 W17       457 0 B14_L16_N           (4-17-13)
XC7A100T-2FGG484C                U1                                 7   2     42  42   2 W19       459 0 B14_L12_P           (4-4-13)
XC7A100T-2FGG484C                U1                                 7   2     43  43   2 W20       460 0 B14_L12_N           (4-5-13)
XC7A100T-2FGG484C                U1                                 7   2     44  44   2 W21       461 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 7   2     45  45   2 W22       462 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 7   2     46  46   2 Y18       480 0 B14_L13_P           (4-10-13)
XC7A100T-2FGG484C                U1                                 7   2     47  47   2 Y19       481 0 B14_L13_N           (4-11-13)
XC7A100T-2FGG484C                U1                                 7   2     48  48   2 Y21       483 0 B14_L9_P            (4-146-13)
XC7A100T-2FGG484C                U1                                 7   2     49  49   2 Y22       484 0 B14_L9_N            (4-147-13)
XC7A100T-2FGG484C                U1                                 7   2     50  50   2 AA19       19 0 B14_L15_P           (4-18-13)
XC7A100T-2FGG484C                U1                                 7   2     51  51   2 AA20       20 0 B14_L8_P            (4-13-13)
XC7A100T-2FGG484C                U1                                 7   2     52  52   2 AA21       21 0 B14_L8_N            (4-12-13)
XC7A100T-2FGG484C                U1                                 7   2     53  53   2 AB18       40 0 B14_L17_N           (4-14-13)
XC7A100T-2FGG484C                U1                                 7   2     54  54   2 AB20       42 0 B14_L15_N           (4-19-13)
XC7A100T-2FGG484C                U1                                 7   2     55  55   2 AB21       43 0 B14_L10_P           (4-1-13)
XC7A100T-2FGG484C                U1                                 7   2     56  56   2 AB22       44 0 B14_L10_N           (4-2-13)
XC7A100T-2FGG484C                U1                                 8   3      1   1   3 G13       189 0 B15_L1_N            (4-45-13)
XC7A100T-2FGG484C                U1                                 8   3      2   2   3 G15       191 0 B15_L2_N            (4-46-13)
XC7A100T-2FGG484C                U1                                 8   3      3   3   3 G16       192 0 B15_L2_P            (4-47-13)
XC7A100T-2FGG484C                U1                                 8   3      4   4   3 G17       193 0 B15_L4_P            (4-48-13)
XC7A100T-2FGG484C                U1                                 8   3      5   5   3 G18       194 0 B15_L4_N            (4-49-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
XC7A100T-2FGG484C                U1                                 8   3      6   6   3 G19       195 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                 8   3      7   7   3 G20       196 0 B15_L8_N            (4-22-13)
XC7A100T-2FGG484C                U1                                 8   3      8   8   3 H13       211 0 B15_L1_P            (4-44-13)
XC7A100T-2FGG484C                U1                                 8   3      9   9   3 H14       212 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 8   3     10  10   3 H15       213 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 8   3     11  11   3 H16       214 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                 8   3     12  12   3 H18       216 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 8   3     13  13   3 H19       217 0 B15_L12_N           (1049-3-13)
XC7A100T-2FGG484C                U1                                 8   3     14  14   3 H20       218 0 B15_L8_P            (4-23-13)
XC7A100T-2FGG484C                U1                                 8   3     15  15   3 H22       220 0 B15_L7_N            (4-24-13)
XC7A100T-2FGG484C                U1                                 8   3     16  16   3 J13       233 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                 8   3     17  17   3 J14       234 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 8   3     18  18   3 J15       235 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 8   3     19  19   3 J16       236 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 8   3     20  20   3 J17       237 0 B15_L21_N           (4-64-13)
XC7A100T-2FGG484C                U1                                 8   3     21  21   3 J19       239 0 B15_L12_P           (1049-2-13)
XC7A100T-2FGG484C                U1                                 8   3     22  22   3 J20       240 0 B15_L11_P           (4-36-13)
XC7A100T-2FGG484C                U1                                 8   3     23  23   3 J21       241 0 B15_L11_N           (4-37-13)
XC7A100T-2FGG484C                U1                                 8   3     24  24   3 J22       242 0 B15_L7_P            (4-25-13)
XC7A100T-2FGG484C                U1                                 8   3     25  25   3 K13       255 0 B15_L19_P           (4-31-13)
XC7A100T-2FGG484C                U1                                 8   3     26  26   3 K14       256 0 B15_L19_N           (4-30-13)
XC7A100T-2FGG484C                U1                                 8   3     27  27   3 K16       258 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 8   3     28  28   3 K17       259 0 B15_L21_P           (4-63-13)
XC7A100T-2FGG484C                U1                                 8   3     29  29   3 K18       260 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 8   3     30  30   3 K19       261 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 8   3     31  31   3 K20       262 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                 8   3     32  32   3 K21       263 0 B15_L9_P            (4-21-13)
XC7A100T-2FGG484C                U1                                 8   3     33  33   3 K22       264 0 B15_L9_N            (4-20-13)
XC7A100T-2FGG484C                U1                                 8   3     34  34   3 L13       277 0 B15_L20_N           (4-58-13)
XC7A100T-2FGG484C                U1                                 8   3     35  35   3 L14       278 0 B15_L22_P           (4-68-13)
XC7A100T-2FGG484C                U1                                 8   3     36  36   3 L15       279 0 B15_L22_N           (4-67-13)
XC7A100T-2FGG484C                U1                                 8   3     37  37   3 L16       280 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 8   3     38  38   3 L17       281 0 2V5_VCCO            (376-17-13)
XC7A100T-2FGG484C                U1                                 8   3     39  39   3 L18       282 0                     (0-0-0)
XC7A100T-2FGG484C                U1                                 8   3     40  40   3 L19       283 0 B15_L14_P           (4-32-13)
